day,students_expected,meals_prepared,meals_consumed,waste_meals,holiday
Monday,900,950,880,70,0
Tuesday,850,900,820,80,0
Wednesday,1000,1050,970,80,0
Thursday,920,950,890,60,0
Friday,800,850,760,90,0
Saturday,700,750,650,100,0
Sunday,600,650,570,80,0
Monday,950,1000,920,80,0
Tuesday,880,930,850,80,0
Wednesday,980,1030,950,80,0
Thursday,900,950,870,80,0
Friday,820,870,780,90,0
Saturday,720,770,670,100,0
Sunday,620,670,590,80,0
Monday,500,550,480,70,1
Tuesday,450,500,430,70,1
Wednesday,550,600,520,80,1
Thursday,480,530,450,80,1
Friday,400,450,370,80,1
